token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,name,creator_address,notes
0x0000000000000000000000000000000000000000,SYN0000,base,clanker,1714521600,96,0.2204,0.1956,12,"[0.0527, 0.0507, 0.0521, 0.0128, 0.0108, 0.0296, 0.0288, 0.0792, 0.0107, 0.0226, 0.0107, 0.0233]",1.5378,0.0591,17,4,0.00593,40,"[24372.16, 8491.56, 8168.77, 6969.42, 6580.97, 6158.93, 3932.75, 3738.65, 3705.84, 3223.86, 3005.14, 2815.52, 2436.71, 2263.89, 1870.53, 1545.02, 1536.45, 1350.99, 1299.97, 1291.31, 1232.53, 980.79, 890.73, 848.17, 818.97, 761.57, 611.81, 519.59, 471.05, 448.63, 274.99, 265.0, 257.05, 253.57, 225.04, 219.64, 206.51, 159.66, 142.1, 79.28]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 0,0x000000000000000000000000000000000000002a,quality=0.164
0x0000000000000000000000000000000000000001,SYN0001,base,clanker,1714518000,96,13.2827,11.2446,11,"[0.1141, 0.063, 0.0427, 0.9931, 1.4286, 0.2805, 1.1652, 0.085, 0.863, 0.3841, 0.8442]",1.8449,0.0,17,6,0.02343,118,"[84016.77, 43511.33, 39768.37, 21617.08, 13299.98, 11628.06, 8136.15, 6909.17, 6561.01, 5716.05, 5504.01, 4623.82, 4407.83, 4375.0, 3738.22, 3117.13, 2990.13, 2897.91, 2896.35, 2857.2, 2669.8, 2567.16, 2437.6, 2347.18, 2306.31, 2258.23, 2247.89, 2243.75, 2088.54, 2049.42, 2038.07, 2037.53, 1972.79, 1962.81, 1865.51, 1820.54, 1609.94, 1517.26, 1431.58, 1386.01, 1380.32, 1339.73, 1286.57, 1190.52, 1177.14, 1167.64, 1135.04, 1120.57, 1043.41, 1024.18, 982.2, 962.36, 949.06, 947.35, 885.08, 863.95, 850.42, 829.82, 809.51, 761.86, 747.97, 743.63, 698.71, 685.99, 653.45, 645.1, 607.4, 591.22, 581.89, 556.69, 554.81, 552.82, 544.3, 518.88, 489.02, 486.19, 485.74, 480.03, 475.71, 454.75, 450.71, 427.7, 427.17, 413.12, 380.56, 375.19, 343.97, 324.24, 320.26, 288.51, 281.82, 276.48, 264.74, 259.03, 257.44, 247.99, 221.52, 200.04, 198.62, 175.43, 170.3, 164.97, 145.28, 144.77, 142.64, 129.18, 117.25, 98.62, 97.77, 95.63, 80.34, 67.04, 55.62, 43.75, 37.79, 36.92, 31.12, 27.81]",1,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 1,0x000000000000000000000000000000000000002b,quality=0.310
0x0000000000000000000000000000000000000002,SYN0002,base,bankr,1714514400,96,3.7696,2.3318,12,"[0.074, 0.0962, 0.2699, 0.2339, 0.1142, 0.0244, 0.1624, 0.501, 0.3011, 0.4421, 0.0795, 0.1438]",0.8774,0.2118,8,1,0.00941,20,"[60447.03, 13549.49, 11350.46, 3302.44, 3150.8, 1962.92, 1447.01, 1397.81, 859.74, 820.96, 792.23, 621.39, 326.64, 260.24, 217.46, 193.56, 176.06, 157.36, 128.48, 87.0]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 2,0x000000000000000000000000000000000000002c,quality=0.023
0x0000000000000000000000000000000000000003,SYN0003,base,clanker,1714510800,96,18.869,13.8537,35,"[0.2599, 0.3036, 0.5424, 0.1127, 0.4779, 0.066, 0.0922, 0.0413, 0.124, 0.2423, 0.1327, 2.1078, 0.6556, 0.9728, 0.2426, 1.2335, 1.8002, 0.1316, 0.0854, 0.0536, 0.0297, 0.1068, 0.615, 0.0299, 4.6793, 0.1216, 0.0483, 0.1972, 0.1925, 0.0556, 0.4417, 0.1273, 0.6438, 0.6894, 0.2841]",0.4965,0.0,15,6,0.03488,47,"[26757.04, 12768.31, 7607.5, 3457.61, 2739.26, 2655.07, 2243.84, 2217.34, 1855.06, 1691.27, 1370.68, 1363.67, 1295.96, 1263.86, 1148.68, 1057.38, 1014.83, 1004.74, 1003.47, 990.23, 983.19, 937.51, 863.64, 794.69, 642.12, 637.29, 544.39, 418.46, 277.13, 235.42, 211.71, 204.38, 191.85, 175.98, 136.88, 108.28, 86.53, 77.91, 75.94, 75.63, 72.72, 58.65, 49.68, 36.1, 24.41, 13.87, 12.34]",1,0,0,0,0,0,0,0,1,1,1,1,Synthetic Token 3,0x000000000000000000000000000000000000002d,quality=0.322
0x0000000000000000000000000000000000000004,SYN0004,base,bankr,1714507200,96,4.9525,3.62,16,"[0.3312, 0.0346, 0.2647, 0.1205, 0.3603, 0.0217, 0.0765, 0.5373, 0.1005, 0.306, 0.3433, 0.0123, 0.1383, 0.1309, 0.0184, 0.0841]",3.8778,0.0,24,8,-0.00523,29,"[7117.0, 3798.75, 2328.36, 1860.61, 1266.58, 1040.78, 909.42, 688.05, 617.52, 498.19, 462.03, 443.57, 432.0, 429.98, 341.31, 311.98, 290.69, 287.06, 250.26, 193.39, 171.91, 142.32, 141.19, 96.93, 79.34, 50.43, 42.13, 23.78, 12.76]",1,1,0,0,1,1,1,1,1,1,1,0,Synthetic Token 4,0x000000000000000000000000000000000000002e,quality=0.464
0x0000000000000000000000000000000000000005,SYN0005,base,clanker,1714503600,96,1.0039,0.7179,1,[2.953],0.3913,0.0,5,0,-0.0361,9,"[15044.0, 5402.12, 2057.05, 1997.75, 520.22, 452.75, 399.27, 259.93, 75.49]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 5,0x000000000000000000000000000000000000002f,quality=0.006
0x0000000000000000000000000000000000000006,SYN0006,base,clanker,1714500000,96,0.2218,0.1226,9,"[0.0949, 0.0292, 0.0409, 0.0359, 0.0111, 0.0185, 0.0432, 0.1393, 0.0156]",0.9568,0.0,5,0,0.00154,40,"[18027.4, 11955.37, 9059.84, 6459.44, 5910.49, 5399.65, 4876.73, 4514.75, 4024.31, 3595.55, 3497.03, 3292.65, 3013.79, 2508.64, 2382.29, 2147.09, 1961.57, 1661.16, 1614.72, 1388.66, 1098.16, 1053.1, 881.4, 865.4, 585.14, 561.9, 538.64, 375.39, 358.93, 338.7, 280.83, 220.87, 208.46, 197.01, 163.16, 135.42, 95.21, 93.25, 54.25, 10.1]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 6,0x0000000000000000000000000000000000000030,quality=0.033
0x0000000000000000000000000000000000000007,SYN0007,base,clanker,1714496400,96,0.4545,0.2206,4,"[0.0509, 0.0574, 0.0391, 0.1348]",1.2382,0.1289,12,0,-0.05745,7,"[8320.18, 5033.51, 4507.86, 2311.2, 1129.11, 235.2, 203.91]",0,0,0,0,0,0,0,0,1,1,1,1,Synthetic Token 7,0x0000000000000000000000000000000000000031,quality=0.069
0x0000000000000000000000000000000000000008,SYN0008,base,clanker,1714492800,96,3.2818,2.1671,36,"[0.111, 0.0368, 0.1357, 0.0548, 0.0236, 0.2431, 0.0131, 0.0216, 0.0148, 0.0353, 0.1067, 0.0383, 0.0884, 0.0294, 0.0246, 0.2232, 0.0271, 0.0736, 0.0106, 0.1018, 0.0696, 0.0284, 0.1022, 0.0138, 0.1448, 0.0262, 0.0712, 0.0331, 0.0276, 0.173, 0.063, 0.026, 0.0541, 0.0129, 0.043, 0.0261]",4.9886,0.0,35,23,-0.05035,69,"[6835.56, 6601.02, 3012.6, 2976.1, 2295.61, 2201.25, 1867.23, 1648.06, 1468.42, 1436.29, 1167.56, 1125.39, 1091.24, 1006.2, 1002.83, 887.21, 860.44, 824.31, 752.97, 728.61, 724.77, 713.81, 642.51, 604.32, 598.24, 535.47, 505.42, 464.2, 436.62, 414.75, 413.1, 408.5, 405.09, 402.68, 400.92, 389.55, 381.88, 379.56, 373.81, 359.1, 353.49, 321.87, 260.46, 213.23, 191.31, 181.09, 179.22, 142.61, 136.87, 133.82, 127.32, 119.63, 118.47, 98.06, 89.76, 88.32, 84.52, 70.31, 50.75, 45.41, 41.59, 38.27, 37.33, 35.76, 35.04, 23.57, 22.46, 15.78, 11.57]",1,1,1,1,1,1,1,1,1,1,1,1,Synthetic Token 8,0x0000000000000000000000000000000000000032,quality=0.832
0x0000000000000000000000000000000000000009,SYN0009,base,filterfun,1714489200,96,68.1678,55.5496,62,"[1.0112, 1.0072, 0.589, 0.4642, 1.5619, 0.3302, 0.9423, 0.2293, 1.374, 0.2236, 0.4138, 0.5455, 0.1731, 1.1921, 0.1619, 0.5444, 0.2644, 1.3422, 2.3418, 0.3326, 0.178, 0.222, 0.0325, 0.0893, 0.0924, 0.0979, 0.0927, 0.0473, 0.1195, 3.462, 0.3079, 1.2904, 0.9405, 1.8555, 0.04, 0.9591, 0.758, 0.0664, 0.0601, 1.623, 0.9201, 0.6454, 0.5332, 16.0961, 0.0723, 0.0947, 0.1861, 0.0237, 0.3688, 0.0303, 1.0343, 0.1807, 0.2779, 0.123, 1.183, 0.8254, 0.1959, 0.705, 0.3565, 6.0187, 0.2158, 0.6123]",1.6047,0.4587,29,16,0.01005,33,"[4694.94, 3648.14, 2064.03, 1921.38, 1796.38, 1239.44, 1180.18, 1001.15, 969.72, 949.12, 897.03, 885.11, 815.77, 675.76, 603.24, 603.12, 569.87, 530.83, 497.38, 488.41, 467.88, 409.5, 265.11, 221.15, 208.95, 201.25, 174.01, 130.63, 91.19, 82.01, 79.9, 68.9, 56.08]",1,1,1,1,1,1,1,1,1,1,0,0,Synthetic Token 9,0x0000000000000000000000000000000000000033,quality=0.584
